subbasinID          lon          lat       weight
           1       -4.065       -0.165     0.001023
           1       -3.845       -0.275     0.148645
           1       -3.845       -0.165     0.208071
           1       -3.955       -0.275     0.214660
           1       -3.955       -0.165     0.427601
           2       -3.955       -0.165     0.044859
           2       -3.955       -0.385     0.075830
           2       -4.065       -0.385     0.112003
           2       -4.065       -0.165     0.185662
           2       -3.955       -0.275     0.288120
           2       -4.065       -0.275     0.293527
           3       -3.735       -0.385     0.089498
           3       -3.845       -0.275     0.425028
           3       -3.735       -0.275     0.485474
           4       -3.955       -0.275     0.223292
           4       -3.845       -0.275     0.776708
           5       -3.845       -0.385     0.020538
           5       -3.955       -0.385     0.203122
           5       -3.845       -0.275     0.312179
           5       -3.955       -0.275     0.464161
           6       -3.845       -0.275     0.052364
           6       -3.735       -0.275     0.067116
           6       -3.845       -0.385     0.396444
           6       -3.735       -0.385     0.484076
           7       -3.845       -0.275     1.000000
           8       -3.845       -0.275     0.021906
           8       -3.955       -0.385     0.433735
           8       -3.845       -0.385     0.544359
           9       -3.845       -0.385     1.000000
          10       -3.955       -0.385     0.031537
          10       -3.845       -0.495     0.077092
          10       -3.845       -0.385     0.891371
          11       -4.065       -0.385     0.025721
          11       -3.845       -0.385     0.141272
          11       -3.955       -0.385     0.833007
